,Review,Review By,Review Date
1,Ok car to buyThe car is good on cosmetics but I don't think that you can trust the engine for the long run. MG still needs to take care and refine the engine according to Indian road conditions. Giving a variety of features won't help if there is an issue in engine quality. The mileage is also very less and gives 7 KMPL on the highways.Read More,By chintan,"On: Nov 24, 2019  | 1919 Views"
2,Best SUVMG Hector is the best mid-size SUV. It feels like luxury cars with the best automatic functions. This car is almost best in everything but its mileage is not too high.,By ashu verma,"On: Nov 24, 2019  | 52 Views"
3,It is the Perfect SUVThis is a perfect SUV. This gives a real feel of SUV it is having so much space for your luggage and persons sitting in it. I think it is the best SUV in this price range. This car is having a nice sound system. I am having its petrol variant. MG also provides diesel variant.Read More,By pinky parmar,"On: Nov 23, 2019  | 694 Views"
4,"Its awesome and a good carIt's an amazing car. I like it, it is awesome. The features and everything is good and it has good braking. The mileage is also good.",By jitendra balwani,"On: Nov 22, 2019  | 48 Views"
5,"Excellent CarAwesome car with excellent quality features, voice control, excellent looks like a beast and worth for money.",By raj rock,"On: Nov 22, 2019  | 34 Views"
6,"Go for it Worth BuyingBest build quality in its segment, good cabin insulation from the outside world, less NVH level, cabin cooling capacity is quite good.",By venkatppathyadhith ,"On: Nov 22, 2019  | 39 Views"
7,"Value For Money CarMG Hector has the best engine and suspension. It has great pickup and an awesome music system. Overall, It is a value for money car.",By beast gamer,"On: Nov 24, 2019  | 35 Views"
8,"Great PerformerIt is a complete package whether you are thriving for power or safety features, MG Hector has it all. The company has left no stones unturned when it comes to the body layout, it looks massive and beautiful at the same time. The interiors of the car are of premium quality and certainly makes the user feel true value for the money.Read More",By mohit gupta,"On: Nov 24, 2019  | 94 Views"
9,Nice looking carThe performance is good. The sunroof is very nice. It is an internet car. AC condition is good in performance.,By rishal pp,"On: Nov 22, 2019  | 37 Views"
10,"It is a very cool carThe length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. The 17-inch wheels also look a size too small. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention. The MG's cabi...Read More",By brij bhushan katoch,"On: Nov 20, 2019  | 753 Views"
11,"Performance and looks are great but not good in mileageBeautiful car with great performance. Looks are great with a very huge cabin space like other cars. Very comfortable for front and rear passengers but disappointed with the mileage as it is only 5 - 7 KMPL, seriously. If you don't have issues with mileage this car is good and great. But don't waste your money on the hybrid model as in hybrid model ...Read More",By shreyash rathod,"On: Nov 19, 2019  | 2147 Views"
12,"MG Hector - First ImpressionI like spacious interior packed with features, refined engine and strong road presence. Fit and finish could be better and the infotainment system is a bit lacky. You just can't miss this car as its sheer size hits you before you even start focusing on the design detail.Read More",By ar s,"On: Nov 21, 2019  | 273 Views"
